"Geslacht";"Leeftijd";"Nationaliteit";"Jaar";"Totaal asielverzoeken (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2013";13095
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2014";24535
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2015";45035
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2016";21025
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2017";18265
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2018";24075
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2019";25265
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2020";15320
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2021";26555
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022";37065
